Year,Area,St,St 2
2011,,"Gracechurch Centre, Outside Supercigs",
2011,,"Gracechurch Shopping Centre, Sutton Coldfield",
2011,,"Grassed Area, Pype Hayes Park",
2011,,Gravelley Lane,
2011,,Gravelley Lane,
2011,,Gravelley Lane,
2011,,"Gravelly Lane, Erdington, Birmingham",
2011,,Hairy Lemon Pub Sutton Coldfield,
2011,,Hairy Lemon Pub Sutton Coldfield,
2011,,Hermatige Rd,
2011,,Hermatige Rd,
2011,,Hermitage Drive,
2011,,High St,
2011,,High St Erdington,
2011,,"High St, Erdington",
2011,,"High St, Erdington",
2011,,"High St, SC",
2011,,"High St, SC",
2011,,Hight St Erdington,
2011,,Hunton Hill,
2011,,"Kfc Retail Outlet, Erdington High St",
2011,,"Kingsbury Rd, Erdington, B'Ham",
2011,,Kingstanding Circle,
2011,,"Ladywell Walk, Birmingham",
2011,,Landsdown Rd,
2011,,"Lichfield Rd, Mere Green",
2011,,"Lichfield Rd, Sutton Coldfield",
2011,,"Lindridge Rd, Sutton Coldfield",
2011,,Little Aston Lane,
2011,,Longford Rd,
2011,,"Longford Rd, Kingstanding, B'Ham",
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade,
2011,,Lower Parade Sc,
2011,,Lower Parade Sutton,
2011,,Lower Parade Sutton Coldfield,
2011,,"Lower Parade,",
2011,,"Lower Parade, Suton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield",
2011,,"Lower Parade, Sutton Coldfield Town Centre",
2011,,"Lower Parade, Sutton Coldfield Town Centre",
2011,,"Lower Parade, Sutton Coldfield",
2011,,Lydham Close,
2011,,Mill St,
2011,,"Mill St, Sutton Coldfield",
2011,,Moor Hall Hotel,
2011,,"Mulberry Court Carpark, Kings Rd, Kingstanding, Birmingham",
2011,,Newhall Walk Car Park,
2011,,Newhall Walk Car Park,
2011,,OS HA,
2011,,OS Litten Tree,
2011,,"OS Litten Tree, SC Town Centre",
2011,,"OS Moomoo Bar, SC Town Centre",
2011,,"OS Moomoo Bar, South Parade",
2011,,OS Retro,
2011,,"OS Retro, South Parade",
2011,,OS Retros,
2011,,"OS Royal Hotel, Lichfield Rd",
2011,,OS Temple Bar,
2011,,OS Temple Bar,
2011,,"OS Temple Bar, High St",
2011,,"OS Temple Bar, Lower Parade Sutton Coldfield",
2011,,"OS Temple Bar, SC Town Centre",
2011,,"OS Temple Bar, Sutton Coldfield, West Milands",
2011,,OS The Hairy Lemon,
2011,,On Pavement Outside The Royal Hotel,
2011,,"Ourtside Royal Pub, Lichfield Rd, Sutton Coldfield",
2011,,"Outside Glendale Tower, Lyndhurst Estate",
2011,,"Outside Litten Tree Pub, Birmingham Rd, Sutton Coldfield",
2011,,"Outside Moo Moo Club, Town Centre, Sutton Coldfield",
2011,,"Outside Moo Moo Night Club, South Parade",
2011,,"Outside Temple Parade, Lower Parade",
2011,,"Outside The Temple Bar, Lower Parade, Sc",
2011,,Parade  Sutton Coldfield,
2011,,Parade Sc,
2011,,Parade Sutton Coldfield,
2011,,Parade Sutton Coldfield,
2011,,Parade Sutton Coldfield,
2011,,Parade Sutton Town,
2011,,"Parade, Sutton Coldfield",
2011,,"Parade, Sutton Coldfield",
2011,,"Parade, Sutton Town Centre",
2011,,"Parkeston Crescent, Kinsgatnding, B'Ham",
2011,,Plants Grove Erdington,
2011,,"Pype Hayes Rd, Pype Hayes, B'Ham",
2011,,"Pype Hayes Rd, Pype Hayes, B'Ham",
2011,,"Pype Hayes Rd, Pype Hayes, B'Ham",
2011,,Queen St,
2011,,Queen St,
2011,,Queen St,
2011,,Queen St,
2011,,Queen St Sutton Coldfield Town Centre,
2011,,Queslett Rd East,
2011,,Redacre Rd Boldmere,
2011,,Reservoir Rd,
2011,,Ridgeway,
2011,,"Slade Rd, Erdington, B'Ham",
2011,,"Slade Rd, Erdington, B'Ham",
2011,,"Soth Parade, Sutton Coldfield",
2011,,"Soth Parade, Sutton Coldfield",
2011,,South Parade,
2011,,South Parade,
2011,,South Parade,
2011,,South Parade,
2011,,South Parade,
2011,,South Parade,
2011,,South Parade,
2011,,South Parade,
2011,,South Parade,
2011,,South Parade,
2011,,South Parade,
2011,,South Parade,
2011,,"South Parade Aaiya Town Centre, Sutton Coldfield",
2011,,South Parade Sutton Coldfield,
2011,,South Parade Sutton Coldfield,
2011,,South Parade Sutton Town Centre,
2011,,"South Parade, Sutton Coldfield",
2011,,"South Parade, Sutton Coldfield",
2011,,"South Parade, Sutton Coldfield",
2011,,"South Parade, Sutton Coldfield",
2011,,"South Parade, Sutton Coldfield",
2011,,"South Parade, Sutton Coldfield",
2011,,"South Parade, Sutton Coldfield",
2011,,"South Parade, Sutton Coldfield",
2011,,"South Parade, Sutton Coldfield",
2011,,"South Parade, Sutton Coldfield",
2011,,"South Parade, Sutton Coldfield",
2011,,"South Parade, Sutton Town Centre",
2011,,"South Parade, Town Centre, Sutton Coldfield",
2011,,Stornaway Rd Castle Vale,
2011,,Stley Rd Erdington,
2011,,Sumburgh Croft,
2011,,Sutton Coldfield Town Centre,
2011,,Sutton Coldfield Town Centre,
2011,,Sutton New Rd,
2011,,Sutton New Rd Erdington,
2011,,Sutton New Rd Erdington,
2011,,Sutton New Rd Erdington,
2011,,"Sutton New Rd, Erdington, B'Ham",
2011,,Sutton Parade,
2011,,Sutton Parade,
2011,,Sutton Parade,
2011,,Sutton Town Centre,
2011,,Sutton Town Centre,
2011,,Sutton Town Centre,
2011,,Sutton Town Centre,
2011,,Sutton Town Centre,
2011,,Tedbury Crescent,
2011,,"Tesco'S Express, Walsall Rd, Four Oaks, Sutton Coldfield",
2011,,The Parade,
2011,,The Parade,
2011,,The Parade,
2011,,The Parade Sutton,
2011,,The Parade Sutton Coldfield,
2011,,"The Parade, Birmingham Rd, Sutton Coldfield",
2011,,"The Parade, Sutton Coldfield",
2011,,"The Parade, Sutton Coldfield",
2011,,"The Parade, Sutton Coldfield",
2011,,"The Parade, Sutton Coldfield",
2011,,"The Parade, Sutton Coldfield",
2011,,"The Parade, Sutton Coldfield",
2011,,"The Parade, Sutton Town Centre",
2011,,The Parade,
2011,,The Ridgeway,
2011,,The Ridgeway,
2011,,The Ridgeway,
2011,,The Swan Ph,
2011,,Turnhouse Rd,
2011,,Upper Holland Rd,
2011,,Victoria Rd,
2011,,Victoria Rd,
2011,,Victoria Rd,
2011,,"Walsh Drive, Walmley, Sutton Coldfield",
2011,,Warren Farm Rd,
2011,,Warren Farm Rd,
2011,,Whitehouse Common Rd,
2011,,Wilton Rd,
2011,,"Windsor House, Jarvis Rd, Erdington",
2011,,Witton Lodge Rd,
2011,,"Witton Lodge Rd, Erdington",
2011,,York Rd,
2011,,Abdon Ave,
2011,,Alcester Rd South,
2011,,Alvechurch Rd,
2011,,Arden Rd,
2011,,Ardencote FRd,
2011,,Ashley Close,
2011,,Balti Spice Bristol Rd South,
2011,,Barnes Hill,
2011,,Barrow House,
2011,,Bell St,
2011,,Birmingham New St,
2011,,Birmingham New St,
2011,,Birmingham New St,
2011,,"Birmingham St, Oldbury",
2011,,Blandford Rd,
2011,,Bournbrook Rd,
2011,,Bournville Front Office,
2011,,Bournville Front Office,
2011,,Bournville Lane,
2011,,Bournville Lane,
2011,,Bournville Lane Front Office,
2011,,Bowling Green Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd Selly Oak,
2011,,Bristol Rd South,
2011,,Bristol Rd South,
2011,,Bristol Rd Sth,
2011,,"Bristol Rd, Northfield",
2011,,"Bristol Rd, Selly Oak",
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd,
2011,,Bristol Rd Northfield,
2011,,Bristol Rd Selly Oak,
2011,,Bristol Rd Selly Oak,
2011,,Bristol Rd Selly Oak,
2011,,"Bristol Rd South, Northfield",
2011,,"Bristol Rd South, Selly Oak",
2011,,"Bristol Rd, Selly Oak",
2011,,"Bristol Rd, Selly Oak",
2011,,"Bristol Rd, Selly Oak",
2011,,BRd St,
2011,,BRd St,
2011,,BRd St,
2011,,"BRd St, City Centre",
2011,,"BRd St, City Centre",
2011,,Brook Lane,
2011,,Bunburry Rd,
2011,,Bunburry Rd,
2011,,"Burnhill Grove,Weoley Castle,Birmingham",
2011,,Car Park Of Bournville Lane PStn,
2011,,"Chinbrook Rd, Billsley",
2011,,Church Hill Nortthfield,
2011,,Church Rd,
2011,,"Compton Rd, Cradley Heath",
2011,,"Costcutters, Ardern Rd",
2011,,Dawberry Rd,
2011,,Dawlish Rd,
2011,,Dingle Club,
2011,,Doddington Rd,
2011,,Dog Kennel Lane,
2011,,Dog Pool Lane,
2011,,Downfield Drive,
2011,,Dudley Bus Station,
2011,,Dwellings Lane,
2011,,Eafo,
2011,,Edgbaston Cricket Ground,
2011,,Edgbaston Park Rd,
2011,,Exeter Rd  Hubert Rd,
2011,,Fordhouse Lane,
2011,,"Four Acres,Quinton",
2011,,"Frogmill Rd, Frankley",
2011,,Genners Lane,
2011,,Glastonbury Rd,
2011,,Great Park Rubery,
2011,,Griffins Brook Lane,
2011,,Grosvenor Shopping Centre,
2011,,Hagley Rd,
2011,,Hagley Rd,
2011,,Hagley Rd,
2011,,Hagley Rd,
2011,,Hagley Rd,
2011,,Hagley Rd,
2011,,Hagley Rd,
2011,,Hagley Rd,
2011,,Hagley Rd,
2011,,"Hagley Rd, Edgbaston",
2011,,"Hagley Rd, Eedgbaston",
2011,,Harborne Cricket Club,
2011,,Harborne High St,
2011,,Harborne High St,
2011,,Harborne High St,
2011,,Harborne High St,
2011,,Harborne Park Rd,
2011,,Harborne Police Station,
2011,,Harbourne Cricket Club,
2011,,Hawkesley End,
2011,,Hawkesley Square,
2011,,Hazelwell St,
2011,,Heathmill Lane Digbeth,
2011,,Herons Wood,
2011,,High St,
2011,,High St Harborne,
2011,,High St Harborne,
2011,,High St Northfield,
2011,,High St Harborne,
2011,,High St Harborne,
2011,,High St Harborne,
2011,,High St Harborne,
2011,,High St Harbourne,
2011,,"High St, Harborne",
2011,,"High St, Harborne",
2011,,Highfdield Lane,
2011,,Highfield Lane,
2011,,"Highfield Lane, Quinton",
2011,,"Hoggs Lane, Northfield",
2011,,Hollybank Rd,
2011,,"Holywood Bowl, Rubery",
2011,,Home Address,
2011,,"Honnington Crescent, Northfield",
2011,,Jiggins Lane,
2011,,"Jiggins Lane, Bartley Green",
2011,,Kembertone Rd,
2011,,Kings Norton Green,
2011,,Leech Green Rd,
2011,,Leith Grove,
2011,,Leith Grove,
2011,,Long Fellow Rd,
2011,,Longbridge Lane,
2011,,Longbridge Lane,
2011,,"Longbridge Lane, West Heath",
2011,,Longham Croft,
2011,,Lottie Rd,
2011,,Lutley Grove,
2011,,"Malins Rd, Harborne",
2011,,Manderville House,
2011,,"Marjoram Close, Hawksley",
2011,,Masshouse Lane,
2011,,Masshouse Lane,
2011,,Maypole Lane,
2011,,Merritts Hill,
2011,,Metchley Lane,
2011,,Moat Rd,
2011,,"Mounbatten House, Wyndham Rd",
2011,,New St Br,
2011,,New St Station,
2011,,Nortb Worcester Golf Club,
2011,,"North St, Harborne",
2011,,"North St, Harborne",
2011,,Northfield High St,
2011,,Northfield High St,
2011,,Oakridge Rd Northfield,
2011,,Oddingley Rd,
2011,,"Oddingley Rd, West Heath",
2011,,"Paradise Forum,Birmingham",
2011,,Parsons Hill,
2011,,Pershore Rd,
2011,,Pershore Rd,
2011,,Pershore Rd,
2011,,Pershore Rd,
2011,,Pershore Rd,
2011,,Pershore Rd,
2011,,Pershore Rd,
2011,,Pershore Rd,
2011,,Pershore Rd,
2011,,Pershore Rd,
2011,,Pershore Rd,
2011,,"Pershore Rd South, Kings Norton",
2011,,"Poole Crescent, Harborne",
2011,,Poplar Ave,
2011,,Portlands Rd,
2011,,Princethorpe Rd,
2011,,Qe Casualty,
2011,,Qe Hospital,
2011,,Qe Hospital,
2011,,Quality Hotel,
2011,,Queen Elizabeth Hospital,
2011,,Raddlebarn Rd,
2011,,Richmond Hill Rd,
2011,,Richmond Rd,
2011,,Rose Rd,
2011,,"Rose Rd, Harborne",
2011,,"Sainsburys, Frankley Beeches Rd, Northfield",
2011,,Selcroft Ave,
2011,,"Shannon Rd, Kings Norton",
2011,,Shawbrook Grove,
2011,,Shell Forecourt Bristol Rd,
2011,,"Sir Hiltons Rd, West Heath",
2011,,Snax 24 Forcourt,
2011,,Solihull High St,
2011,,Solihull High St Outside Rosies,
2011,,Stanley Rd Quinton,
2011,,"Stone Rd, Edgbaston",
2011,,Stonehouse Lane,
2011,,"Stratford Rd,Sparkbrook,Birmingham",
2011,,The Fold,
2011,,"The Fold, Kings Norton",
2011,,The Jester Ph,
2011,,"The Parade Queensway, City Centre",
2011,,"The Royal Oak Public House, Pershore Rd",
2011,,Three Horshoes Ph,
2011,,Three Shires Oak Rd,
2011,,Three Shires Rd,
2011,,Trescotte Rd,
2011,,Turves Green,
2011,,Unknown,
2011,,Valbourne Rd Kings Heath,
2011,,"Vicarage Rd, Kings Heath",
2011,,"Vineyard Rd, Northfield",
2011,,War Lane,
2011,,"Watford Rd, Cotteridge",
2011,,Weolly Castle Rd,
2011,,Westminster Rd,
2011,,Wolverhampton St,
2011,,"Woodhouse Rd, Quinton",
2011,,Woodmeadow Rd,
2011,,Worlds End Lane,
2011,,Worlds End Lane,
2011,,"Worlds End Lane,Quinton",
2011,,"Worlds End Lane,Quinton",
2011,,Acardian Centre,
2011,,Adderley Rd,
2011,,Air Night Club,
2011,,"Albert Rd, Handsworth, Birmingham",
2011,,"Arcadia Centre, Birmingham City Centre",
2011,,Arcadian,
2011,,Arcadian,
2011,,Arcadian Birmingham City Centre,
2011,,"Arcadian Center, Birmingham",
2011,,Arcadian Centre,
2011,,Arcadian Centre,
2011,,Arcadian Centre,
2011,,Arcadian Centre,
2011,,Arcadian Centre,
2011,,Arcadian Centre,
2011,,Arcadian Centre,
2011,,Arcadian Centre,
2011,,Arcadian Centre,
2011,,Arcadian Centre,
2011,,Arcadian Centre,
2011,,Arcadian Centre,
2011,,Arcadian Centre,
